iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T08:09:48+07:00,52227,83.0,154152,1406212,11,1023
2026-08-13T08:09:50+07:00,52227,84.0,154152,1406212,11,1023
2026-08-13T08:09:52+07:00,52227,94.5,154444,1406212,11,1023
2026-08-13T08:09:54+07:00,52227,97.5,154444,1406212,11,1023
2026-08-13T08:09:56+07:00,52227,98.5,154444,1406212,11,1023
2026-08-13T08:09:58+07:00,52227,96.0,154444,1406212,11,1023
2026-08-13T08:10:00+07:00,52227,101.0,154480,1406212,11,1023
2026-08-13T08:10:02+07:00,52227,100.5,154480,1406212,11,1023
2026-08-13T08:10:04+07:00,52227,100.0,154480,1406212,11,1023
2026-08-13T08:10:06+07:00,52227,101.0,154500,1406212,11,1023
2026-08-13T08:10:08+07:00,52227,97.0,154504,1406212,11,1023
2026-08-13T08:10:10+07:00,52227,89.0,154504,1406212,11,1023
2026-08-13T08:10:12+07:00,52227,88.0,154504,1406212,11,1023
2026-08-13T08:10:14+07:00,52227,83.5,154504,1406212,11,1023
2026-08-13T08:10:16+07:00,52227,97.5,154508,1406212,11,1023
2026-08-13T08:10:18+07:00,52227,90.0,154508,1406212,11,1023
2026-08-13T08:10:20+07:00,52227,98.5,154584,1406212,11,1023
2026-08-13T08:10:22+07:00,52227,101.5,154584,1406212,11,1023
2026-08-13T08:10:24+07:00,52227,97.5,154584,1406212,11,1023
2026-08-13T08:10:26+07:00,52227,95.5,154584,1406212,11,1023
2026-08-13T08:10:28+07:00,52227,94.5,154584,1406212,11,1023
2026-08-13T08:10:30+07:00,52227,88.0,154792,1406212,11,1023
2026-08-13T08:10:32+07:00,52227,97.5,154792,1406212,11,1023
2026-08-13T08:10:34+07:00,52227,99.5,154792,1406212,11,1023
2026-08-13T08:10:36+07:00,52227,93.5,154792,1406212,11,1023
2026-08-13T08:10:38+07:00,52227,93.0,154792,1406212,11,1023
2026-08-13T08:10:40+07:00,52227,95.0,154792,1406212,11,1023
2026-08-13T08:10:42+07:00,52227,97.0,154844,1406212,11,1023
2026-08-13T08:10:44+07:00,52227,98.5,154868,1406212,11,1023
2026-08-13T08:10:46+07:00,52227,96.5,154868,1406212,11,1023
2026-08-13T08:10:49+07:00,52227,95.0,154868,1406212,11,1023
2026-08-13T08:10:51+07:00,52227,94.0,154868,1406212,11,1023
2026-08-13T08:10:53+07:00,52227,93.5,154888,1406212,11,1023
2026-08-13T08:10:55+07:00,52227,94.5,154896,1406212,11,1023
2026-08-13T08:10:57+07:00,52227,92.0,154896,1406212,11,1023
2026-08-13T08:10:59+07:00,52227,91.5,154896,1406212,11,1023
2026-08-13T08:11:01+07:00,52227,85.0,154896,1406212,11,1023
2026-08-13T08:11:03+07:00,52227,81.5,154896,1406212,11,1023
2026-08-13T08:11:05+07:00,52227,87.0,154896,1406212,11,1023
2026-08-13T08:11:07+07:00,52227,97.0,154896,1406212,11,1023
2026-08-13T08:11:09+07:00,52227,97.5,154896,1406212,11,1023
2026-08-13T08:11:11+07:00,52227,98.0,154896,1406212,11,1023
2026-08-13T08:11:13+07:00,52227,95.0,154896,1406212,11,1023
2026-08-13T08:11:15+07:00,52227,95.0,154896,1406212,11,1023
2026-08-13T08:11:17+07:00,52227,95.0,154896,1406212,11,1023
2026-08-13T08:11:19+07:00,52227,98.5,154896,1406212,11,1023
2026-08-13T08:11:21+07:00,52227,93.5,154896,1406212,11,1023
2026-08-13T08:11:23+07:00,52227,89.5,154896,1406212,11,1023
2026-08-13T08:11:25+07:00,52227,91.5,154896,1406212,11,1023
2026-08-13T08:11:27+07:00,52227,93.5,154896,1406212,11,1023
2026-08-13T08:11:29+07:00,52227,91.0,154896,1406212,11,1023
2026-08-13T08:11:31+07:00,52227,91.5,154896,1406212,11,1023
2026-08-13T08:11:33+07:00,52227,97.5,155032,1406212,11,1023
2026-08-13T08:11:35+07:00,52227,100.0,155032,1406212,11,1023
2026-08-13T08:11:37+07:00,52227,97.0,155032,1406212,11,1023
2026-08-13T08:11:39+07:00,52227,95.5,155032,1406212,11,1023
2026-08-13T08:11:41+07:00,52227,95.5,155084,1406212,11,1023
2026-08-13T08:11:43+07:00,52227,98.5,155084,1406212,11,1023
2026-08-13T08:11:45+07:00,52227,109.5,161496,1406212,11,1023
2026-08-13T08:11:47+07:00,52227,105.5,161496,1406212,11,1023
2026-08-13T08:11:49+07:00,52227,102.5,162924,1407748,11,1023
2026-08-13T08:11:51+07:00,52227,93.0,163032,1407748,11,1023
2026-08-13T08:11:53+07:00,52227,86.0,163032,1407748,11,1023
2026-08-13T08:11:55+07:00,52227,86.5,163032,1407748,11,1023
2026-08-13T08:11:57+07:00,52227,89.0,163032,1407748,11,1023
2026-08-13T08:11:59+07:00,52227,83.0,163032,1407748,11,1023
2026-08-13T08:12:01+07:00,52227,84.5,163032,1407748,11,1023
2026-08-13T08:12:03+07:00,52227,83.0,160820,1407748,11,1023
2026-08-13T08:12:06+07:00,52227,84.0,160820,1407748,11,1023
2026-08-13T08:12:08+07:00,52227,81.0,160820,1407748,11,1023
